Original URL,Image URL
https://plants.usda.gov/plant-profile/ASPU2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/aspu2_002_shp.jpg
https://plants.usda.gov/plant-profile/ASSY,https://plants.sc.egov.usda.gov/ImageLibrary/standard/assy_002_shp.jpg
https://plants.usda.gov/plant-profile/ASTU,https://plants.sc.egov.usda.gov/ImageLibrary/standard/astu_005_shp.jpg
https://plants.usda.gov/plant-profile/ASVE,https://plants.sc.egov.usda.gov/ImageLibrary/standard/asve_003_shp.jpg
https://plants.usda.gov/plant-profile/ASPL,https://plants.sc.egov.usda.gov/ImageLibrary/standard/aspl_003_shp.jpg
https://plants.usda.gov/plant-profile/ASRH2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/carh8_001_svd.jpg
https://plants.usda.gov/plant-profile/ASTR2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/astr2_003_shp.jpg
https://plants.usda.gov/plant-profile/ATFI,https://plants.sc.egov.usda.gov/ImageLibrary/standard/atfi_001_svd.jpg
https://plants.usda.gov/plant-profile/ATCR2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/atar_001_svd.jpg
https://plants.usda.gov/plant-profile/AUFL,
https://plants.usda.gov/plant-profile/AUVI,https://plants.sc.egov.usda.gov/ImageLibrary/standard/gevi10_001_svd.jpg
https://plants.usda.gov/plant-profile/BAHA,https://plants.sc.egov.usda.gov/ImageLibrary/standard/baha_002_svp.jpg
https://plants.usda.gov/plant-profile/BAVI3,https://plants.sc.egov.usda.gov/ImageLibrary/standard/bavi3_001_svd.jpg
https://plants.usda.gov/plant-profile/BEAL2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/beal2_002_shp.jpg
https://plants.usda.gov/plant-profile/BELE,https://plants.sc.egov.usda.gov/ImageLibrary/standard/bele_002_shp.jpg
https://plants.usda.gov/plant-profile/BEPA,https://plants.sc.egov.usda.gov/ImageLibrary/standard/bepa_002_svp.jpg
https://plants.usda.gov/plant-profile/BEPO,https://plants.sc.egov.usda.gov/ImageLibrary/standard/bepo_002_shp.jpg
https://plants.usda.gov/plant-profile/BIBI7,https://plants.sc.egov.usda.gov/ImageLibrary/standard/bibi7_003_shp.jpg
https://plants.usda.gov/plant-profile/BICE,https://plants.sc.egov.usda.gov/ImageLibrary/standard/bice_003_svp.jpg
https://plants.usda.gov/plant-profile/BICO5,https://plants.sc.egov.usda.gov/ImageLibrary/standard/bico5_002_svp.jpg
https://plants.usda.gov/plant-profile/BICO,https://plants.sc.egov.usda.gov/ImageLibrary/standard/bico_002_shp.jpg
https://plants.usda.gov/plant-profile/BIFR,https://plants.sc.egov.usda.gov/ImageLibrary/standard/bifr_002_svp.jpg
https://plants.usda.gov/plant-profile/BOCY,https://plants.sc.egov.usda.gov/ImageLibrary/standard/bocy_002_svp.jpg
https://plants.usda.gov/plant-profile/BODI2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/bodi2_001_svd.jpg
https://plants.usda.gov/plant-profile/BOVI,https://plants.sc.egov.usda.gov/ImageLibrary/standard/bovi_002_shp.jpg
https://plants.usda.gov/plant-profile/BRCI2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/brci2_003_shp.jpg
https://plants.usda.gov/plant-profile/BRPU6,
https://plants.usda.gov/plant-profile/BUCA2,
https://plants.usda.gov/plant-profile/CAHE2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cahe2_001_shp.jpg
https://plants.usda.gov/plant-profile/CAPA5,https://plants.sc.egov.usda.gov/ImageLibrary/standard/capa5_002_shp.jpg
https://plants.usda.gov/plant-profile/CASP14,
https://plants.usda.gov/plant-profile/CABU3,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cabu3_002_svp.jpg
https://plants.usda.gov/plant-profile/CACO26,https://plants.sc.egov.usda.gov/ImageLibrary/standard/dela5_002_shp.jpg
https://plants.usda.gov/plant-profile/CADI10,https://plants.sc.egov.usda.gov/ImageLibrary/standard/dedi6_001_svd.jpg
https://plants.usda.gov/plant-profile/CAPA12,https://plants.sc.egov.usda.gov/ImageLibrary/standard/capa12_001_svd.jpg
https://plants.usda.gov/plant-profile/CAALE,
https://plants.usda.gov/plant-profile/CACE,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cace_002_svp.jpg
https://plants.usda.gov/plant-profile/CAEB2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/caeb2_001_svd.jpg
https://plants.usda.gov/plant-profile/CAHI8,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cahi8_001_svd.jpg
https://plants.usda.gov/plant-profile/CALU4,https://plants.sc.egov.usda.gov/ImageLibrary/standard/calu4_002_svp.jpg
https://plants.usda.gov/plant-profile/CAMU4,https://plants.sc.egov.usda.gov/ImageLibrary/standard/camu4_001_svd.jpg
https://plants.usda.gov/plant-profile/CAPE6,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cape6_001_svd.jpg
https://plants.usda.gov/plant-profile/CAPL5,https://plants.sc.egov.usda.gov/ImageLibrary/standard/capl5_001_svd.jpg
https://plants.usda.gov/plant-profile/CASC9,https://plants.sc.egov.usda.gov/ImageLibrary/standard/casc9_001_svd.jpg
https://plants.usda.gov/plant-profile/CASQ2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/casq2_002_svp.jpg
https://plants.usda.gov/plant-profile/CAUM4,https://plants.sc.egov.usda.gov/ImageLibrary/standard/caum4_001_svd.jpg
https://plants.usda.gov/plant-profile/CAVU2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cavu2_002_svp.jpg
https://plants.usda.gov/plant-profile/CACA18,https://plants.sc.egov.usda.gov/ImageLibrary/standard/caca18_005_shp.jpg
https://plants.usda.gov/plant-profile/CACO15,https://plants.sc.egov.usda.gov/ImageLibrary/standard/caco15_002_shp.jpg
https://plants.usda.gov/plant-profile/CAGL8,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cagl8_001_svp.jpg
https://plants.usda.gov/plant-profile/CAOV3,https://plants.sc.egov.usda.gov/ImageLibrary/standard/caov3_001_svp.jpg
https://plants.usda.gov/plant-profile/CAOV2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/caov2_001_svp.jpg
https://plants.usda.gov/plant-profile/CADE12,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cade12_003_svp.jpg
https://plants.usda.gov/plant-profile/CATH2,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cath2_003_shp.jpg
https://plants.usda.gov/plant-profile/CEAM,https://plants.sc.egov.usda.gov/ImageLibrary/standard/ceam_003_svp.jpg
https://plants.usda.gov/plant-profile/CESC,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cesc_003_shp.jpg
https://plants.usda.gov/plant-profile/CEOC,https://plants.sc.egov.usda.gov/ImageLibrary/standard/ceoc_002_svp.jpg
https://plants.usda.gov/plant-profile/CELO3,https://plants.sc.egov.usda.gov/ImageLibrary/standard/ceca6_001_svd.jpg
https://plants.usda.gov/plant-profile/CETR,https://plants.sc.egov.usda.gov/ImageLibrary/standard/cetr_003_shp.jpg
